==60546== NVPROF is profiling process 60546, command: python train.py --img 416 --batch 4 --epochs 20 --data bccd.yaml --weights yolov3-tiny.pt
Using torch 1.7.0 CUDA:0 (Tesla P40, 22919MB)
Namespace(adam=False, batch_size=4, bucket='', cache_images=False, cfg='', data='./data/bccd.yaml', device='', epochs=20, evolve=False, exist_ok=False, global_rank=-1, hyp='data/hyp.scratch.yaml', image_weights=False, img_size=[416, 416], local_rank=-1, log_imgs=16, multi_scale=False, name='exp', noautoanchor=False, nosave=False, notest=False, project='runs/train', rect=False, resume=False, save_dir='runs/train/exp29', single_cls=False, sync_bn=False, total_batch_size=4, weights='yolov3-tiny.pt', workers=8, world_size=1)
Start Tensorboard with "tensorboard --logdir runs/train", view at http://localhost:6006/
Hyperparameters {'lr0': 0.01, 'lrf': 0.2, 'momentum': 0.937, 'weight_decay': 0.0005, 'warmup_epochs': 3.0, 'warmup_momentum': 0.8, 'warmup_bias_lr': 0.1, 'box': 0.05, 'cls': 0.5, 'cls_pw': 1.0, 'obj': 1.0, 'obj_pw': 1.0, 'iou_t': 0.2, 'anchor_t': 4.0, 'fl_gamma': 0.0, 'hsv_h': 0.015, 'hsv_s': 0.7, 'hsv_v': 0.4, 'degrees': 0.0, 'translate': 0.1, 'scale': 0.5, 'shear': 0.0, 'perspective': 0.0, 'flipud': 0.0, 'fliplr': 0.5, 'mosaic': 1.0, 'mixup': 0.0}
Overriding model.yaml nc=80 with nc=3
                 from  n    params  module                                  arguments                     
  0                -1  1       464  models.common.Conv                      [3, 16, 3, 1]                 
  1                -1  1         0  torch.nn.modules.pooling.MaxPool2d      [2, 2, 0]                     
  2                -1  1      4672  models.common.Conv                      [16, 32, 3, 1]                
  3                -1  1         0  torch.nn.modules.pooling.MaxPool2d      [2, 2, 0]                     
  4                -1  1     18560  models.common.Conv                      [32, 64, 3, 1]                
  5                -1  1         0  torch.nn.modules.pooling.MaxPool2d      [2, 2, 0]                     
  6                -1  1     73984  models.common.Conv                      [64, 128, 3, 1]               
  7                -1  1         0  torch.nn.modules.pooling.MaxPool2d      [2, 2, 0]                     
  8                -1  1    295424  models.common.Conv                      [128, 256, 3, 1]              
  9                -1  1         0  torch.nn.modules.pooling.MaxPool2d      [2, 2, 0]                     
 10                -1  1   1180672  models.common.Conv                      [256, 512, 3, 1]              
 11                -1  1         0  torch.nn.modules.padding.ZeroPad2d      [[0, 1, 0, 1]]                
 12                -1  1         0  torch.nn.modules.pooling.MaxPool2d      [2, 1, 0]                     
 13                -1  1   4720640  models.common.Conv                      [512, 1024, 3, 1]             
 14                -1  1    262656  models.common.Conv                      [1024, 256, 1, 1]             
 15                -1  1   1180672  models.common.Conv                      [256, 512, 3, 1]              
 16                -2  1     33024  models.common.Conv                      [256, 128, 1, 1]              
 17                -1  1         0  torch.nn.modules.upsampling.Upsample    [None, 2, 'nearest']          
 18           [-1, 8]  1         0  models.common.Concat                    [1]                           
 19                -1  1    885248  models.common.Conv                      [384, 256, 3, 1]              
 20          [19, 15]  1     18480  models.yolo.Detect                      [3, [[10, 14, 23, 27, 37, 58], [81, 82, 135, 169, 344, 319]], [256, 512]]
Model Summary: 59 layers, 8674496 parameters, 8674496 gradients
Transferred 68/72 items from yolov3-tiny.pt
Optimizer groups: 13 .bias, 13 conv.weight, 11 other
Scanning 'BCCD/labels/train.cache' for images and labels... 255 found, 0 missing, 0 empty, 0 corrupted: 100%|██████████| 255/255 [00:00<?, ?it/s]
Scanning 'BCCD/labels/valid.cache' for images and labels... 73 found, 0 missing, 0 empty, 0 corrupted: 100%|██████████| 73/73 [00:00<?, ?it/s][A
Scanning 'BCCD/labels/valid.cache' for images and labels... 73 found, 0 missing, 0 empty, 0 corrupted: 100%|██████████| 73/73 [00:00<?, ?it/s]
Scanning 'BCCD/labels/train.cache' for images and labels... 255 found, 0 missing, 0 empty, 0 corrupted: 100%|██████████| 255/255 [00:01<?, ?it/s]
Image sizes 416 train, 416 test
Using 4 dataloader workers
Logging results to runs/train/exp29
Starting training for 20 epochs...
     Epoch   gpu_mem       box       obj       cls     total   targets  img_size
  0%|          | 0/64 [00:00<?, ?it/s]
      0/19    0.587G     0.115    0.2764   0.03565     0.427        73       416:   0%|          | 0/64 [00:00<?, ?it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  26%|██▋       | 5/19 [00:00<00:02,  5.63it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  32%|███▏      | 6/19 [00:01<00:02,  5.55it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  37%|███▋      | 7/19 [00:01<00:02,  5.53it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  42%|████▏     | 8/19 [00:01<00:01,  5.56it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  47%|████▋     | 9/19 [00:01<00:01,  5.50it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  53%|█████▎    | 10/19 [00:01<00:01,  5.53it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  58%|█████▊    | 11/19 [00:01<00:01,  5.63it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  63%|██████▎   | 12/19 [00:02<00:01,  5.66it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  68%|██████▊   | 13/19 [00:02<00:01,  5.53it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  74%|███████▎  | 14/19 [00:02<00:00,  5.45it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  79%|███████▉  | 15/19 [00:02<00:00,  5.57it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  84%|████████▍ | 16/19 [00:02<00:00,  5.70it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  89%|████████▉ | 17/19 [00:03<00:00,  5.81it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  95%|█████████▍| 18/19 [00:03<00:00,  5.68it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95: 100%|██████████| 19/19 [00:03<00:00,  6.42it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95: 100%|██████████| 19/19 [00:03<00:00,  5.74it/s]

     Epoch   gpu_mem       box       obj       cls     total   targets  img_size

  0%|          | 0/64 [00:00<?, ?it/s]
     13/19     0.56G   0.05172    0.3946  0.007938    0.4542        85       416:   0%|          | 0/64 [00:00<?, ?it/s]
     13/19     0.56G   0.05172    0.3946  0.007938    0.4542        85       416:   2%|▏         | 1/64 [00:00<00:10,  5.77it/s]
     13/19     0.56G   0.05707    0.4238  0.007491    0.4883       101       416:   2%|▏         | 1/64 [00:00<00:10,  5.77it/s]
     13/19     0.56G   0.05707    0.4238  0.007491    0.4883       101       416:   3%|▎         | 2/64 [00:00<00:10,  6.03it/s]
     13/19     0.56G   0.05687    0.3621  0.006932    0.4259        54       416:   3%|▎         | 2/64 [00:00<00:10,  6.03it/s]
     13/19     0.56G   0.05687    0.3621  0.006932    0.4259        54       416:   5%|▍         | 3/64 [00:00<00:09,  6.40it/s]
     13/19     0.56G   0.05897    0.3745  0.006865    0.4403        91       416:   5%|▍         | 3/64 [00:00<00:09,  6.40it/s]
     13/19     0.56G   0.05897    0.3745  0.006865    0.4403        91       416:   6%|▋         | 4/64 [00:00<00:09,  6.55it/s]
     13/19     0.56G   0.05897    0.3527  0.007095    0.4188        55       416:   6%|▋         | 4/64 [00:00<00:09,  6.55it/s]
     13/19     0.56G   0.05897    0.3527  0.007095    0.4188        55       416:   8%|▊         | 5/64 [00:00<00:08,  6.62it/s]
     13/19     0.56G   0.05922    0.3403  0.007283    0.4068        69       416:   8%|▊         | 5/64 [00:00<00:08,  6.62it/s]
     13/19     0.56G   0.05922    0.3403  0.007283    0.4068        69       416:   9%|▉         | 6/64 [00:00<00:08,  6.70it/s]
     13/19     0.56G   0.06033     0.355  0.007184    0.4225       109       416:   9%|▉         | 6/64 [00:01<00:08,  6.70it/s]
     13/19     0.56G   0.06033     0.355  0.007184    0.4225       109       416:  11%|█         | 7/64 [00:01<00:08,  6.79it/s]
     13/19     0.56G   0.06087    0.3558  0.007212    0.4239        80       416:  11%|█         | 7/64 [00:01<00:08,  6.79it/s]
     13/19     0.56G   0.06087    0.3558  0.007212    0.4239        80       416:  12%|█▎        | 8/64 [00:01<00:08,  6.84it/s]
     13/19     0.56G   0.06177    0.3634  0.007106    0.4322       108       416:  12%|█▎        | 8/64 [00:01<00:08,  6.84it/s]
     13/19     0.56G   0.06177    0.3634  0.007106    0.4322       108       416:  14%|█▍        | 9/64 [00:01<00:08,  6.40it/s]
     13/19     0.56G   0.06036    0.3568  0.007174    0.4244        63       416:  14%|█▍        | 9/64 [00:01<00:08,  6.40it/s]
     13/19     0.56G   0.06036    0.3568  0.007174    0.4244        63       416:  16%|█▌        | 10/64 [00:01<00:08,  6.55it/s]
     13/19     0.56G   0.06165    0.3809  0.007258    0.4498       154       416:  16%|█▌        | 10/64 [00:01<00:08,  6.55it/s]
     13/19     0.56G   0.06165    0.3809  0.007258    0.4498       154       416:  17%|█▋        | 11/64 [00:01<00:07,  6.71it/s]
     13/19     0.56G    0.0604    0.3759  0.007156    0.4435        64       416:  17%|█▋        | 11/64 [00:01<00:07,  6.71it/s]
     13/19     0.56G    0.0604    0.3759  0.007156    0.4435        64       416:  19%|█▉        | 12/64 [00:01<00:07,  6.80it/s]
     13/19     0.56G   0.05929    0.3655  0.007116    0.4319        48       416:  19%|█▉        | 12/64 [00:01<00:07,  6.80it/s]
     13/19     0.56G   0.05929    0.3655  0.007116    0.4319        48       416:  20%|██        | 13/64 [00:01<00:07,  6.67it/s]
     13/19     0.56G   0.05863    0.3584  0.007165    0.4242        48       416:  20%|██        | 13/64 [00:02<00:07,  6.67it/s]
     13/19     0.56G   0.05863    0.3584  0.007165    0.4242        48       416:  22%|██▏       | 14/64 [00:02<00:07,  6.91it/s]
     13/19     0.56G   0.05913    0.3702  0.007287    0.4366       134       416:  22%|██▏       | 14/64 [00:02<00:07,  6.91it/s]
     13/19     0.56G   0.05913    0.3702  0.007287    0.4366       134       416:  23%|██▎       | 15/64 [00:02<00:07,  6.92it/s]
     13/19     0.56G   0.05874    0.3667  0.007252    0.4327        74       416:  23%|██▎       | 15/64 [00:02<00:07,  6.92it/s]
     13/19     0.56G   0.05874    0.3667  0.007252    0.4327        74       416:  25%|██▌       | 16/64 [00:02<00:06,  7.01it/s]
     13/19     0.56G   0.05859    0.3717  0.007197    0.4375       113       416:  25%|██▌       | 16/64 [00:02<00:06,  7.01it/s]
     13/19     0.56G   0.05859    0.3717  0.007197    0.4375       113       416:  27%|██▋       | 17/64 [00:02<00:06,  7.05it/s]
     13/19     0.56G   0.05864    0.3767  0.007153    0.4425       112       416:  27%|██▋       | 17/64 [00:02<00:06,  7.05it/s]
     13/19     0.56G   0.05864    0.3767  0.007153    0.4425       112       416:  28%|██▊       | 18/64 [00:02<00:06,  7.07it/s]
     13/19     0.56G    0.0582    0.3766  0.007182     0.442        90       416:  28%|██▊       | 18/64 [00:02<00:06,  7.07it/s]
     13/19     0.56G    0.0582    0.3766  0.007182     0.442        90       416:  30%|██▉       | 19/64 [00:02<00:06,  7.11it/s]
     13/19     0.56G   0.05766    0.3722  0.007221    0.4371        62       416:  30%|██▉       | 19/64 [00:02<00:06,  7.11it/s]
     13/19     0.56G   0.05766    0.3722  0.007221    0.4371        62       416:  31%|███▏      | 20/64 [00:02<00:06,  7.02it/s]
     13/19     0.56G   0.05736    0.3701  0.007192    0.4347        71       416:  31%|███▏      | 20/64 [00:03<00:06,  7.02it/s]
     13/19     0.56G   0.05736    0.3701  0.007192    0.4347        71       416:  33%|███▎      | 21/64 [00:03<00:06,  6.98it/s]
     13/19     0.56G     0.057    0.3697  0.007225    0.4339        70       416:  33%|███▎      | 21/64 [00:03<00:06,  6.98it/s]
     13/19     0.56G     0.057    0.3697  0.007225    0.4339        70       416:  34%|███▍      | 22/64 [00:03<00:06,  6.85it/s]
     13/19     0.56G   0.05711     0.371  0.007272    0.4354        99       416:  34%|███▍      | 22/64 [00:03<00:06,  6.85it/s]
     13/19     0.56G   0.05711     0.371  0.007272    0.4354        99       416:  36%|███▌      | 23/64 [00:03<00:06,  6.28it/s]
     13/19     0.56G   0.05702     0.372   0.00723    0.4362        97       416:  36%|███▌      | 23/64 [00:03<00:06,  6.28it/s]
     13/19     0.56G   0.05702     0.372   0.00723    0.4362        97       416:  38%|███▊      | 24/64 [00:03<00:06,  6.51it/s]
     13/19     0.56G   0.05679    0.3726  0.007243    0.4367        87       416:  38%|███▊      | 24/64 [00:03<00:06,  6.51it/s]
     13/19     0.56G   0.05679    0.3726  0.007243    0.4367        87       416:  39%|███▉      | 25/64 [00:03<00:05,  6.62it/s]
     13/19     0.56G    0.0568    0.3711  0.007286    0.4352        82       416:  39%|███▉      | 25/64 [00:03<00:05,  6.62it/s]
     13/19     0.56G    0.0568    0.3711  0.007286    0.4352        82       416:  41%|████      | 26/64 [00:03<00:05,  6.80it/s]
     13/19     0.56G   0.05662    0.3674  0.007281    0.4313        62       416:  41%|████      | 26/64 [00:03<00:05,  6.80it/s]
     13/19     0.56G   0.05662    0.3674  0.007281    0.4313        62       416:  42%|████▏     | 27/64 [00:03<00:05,  6.90it/s]
     13/19     0.56G   0.05649    0.3673  0.007215     0.431        87       416:  42%|████▏     | 27/64 [00:04<00:05,  6.90it/s]
     13/19     0.56G   0.05649    0.3673  0.007215     0.431        87       416:  44%|████▍     | 28/64 [00:04<00:05,  6.84it/s]
     13/19     0.56G   0.05652    0.3631  0.007231    0.4269        48       416:  44%|████▍     | 28/64 [00:04<00:05,  6.84it/s]
     13/19     0.56G   0.05652    0.3631  0.007231    0.4269        48       416:  45%|████▌     | 29/64 [00:04<00:05,  6.74it/s]
     13/19     0.56G   0.05666    0.3606  0.007222    0.4245        69       416:  45%|████▌     | 29/64 [00:04<00:05,  6.74it/s]
     13/19     0.56G   0.05666    0.3606  0.007222    0.4245        69       416:  47%|████▋     | 30/64 [00:04<00:04,  6.83it/s]
     13/19     0.56G   0.05662    0.3592  0.007214     0.423        66       416:  47%|████▋     | 30/64 [00:04<00:04,  6.83it/s]
     13/19     0.56G   0.05662    0.3592  0.007214     0.423        66       416:  48%|████▊     | 31/64 [00:04<00:04,  6.90it/s]
     13/19     0.56G    0.0565    0.3616  0.007211    0.4253       109       416:  48%|████▊     | 31/64 [00:04<00:04,  6.90it/s]
     13/19     0.56G    0.0565    0.3616  0.007211    0.4253       109       416:  50%|█████     | 32/64 [00:04<00:04,  7.00it/s]
     13/19     0.56G   0.05637    0.3651  0.007232    0.4287       109       416:  50%|█████     | 32/64 [00:04<00:04,  7.00it/s]
     13/19     0.56G   0.05637    0.3651  0.007232    0.4287       109       416:  52%|█████▏    | 33/64 [00:04<00:04,  6.97it/s]
     13/19     0.56G   0.05651    0.3702  0.007282     0.434       127       416:  52%|█████▏    | 33/64 [00:04<00:04,  6.97it/s]
     13/19     0.56G   0.05651    0.3702  0.007282     0.434       127       416:  53%|█████▎    | 34/64 [00:04<00:04,  7.05it/s]
     13/19     0.56G   0.05635    0.3664  0.007243      0.43        54       416:  53%|█████▎    | 34/64 [00:05<00:04,  7.05it/s]
     13/19     0.56G   0.05635    0.3664  0.007243      0.43        54       416:  55%|█████▍    | 35/64 [00:05<00:04,  7.03it/s]
     13/19     0.56G   0.05638    0.3645  0.007244    0.4281        68       416:  55%|█████▍    | 35/64 [00:05<00:04,  7.03it/s]
     13/19     0.56G   0.05638    0.3645  0.007244    0.4281        68       416:  56%|█████▋    | 36/64 [00:05<00:04,  6.92it/s]
     13/19     0.56G   0.05642     0.364  0.007248    0.4277        74       416:  56%|█████▋    | 36/64 [00:05<00:04,  6.92it/s]
     13/19     0.56G   0.05642     0.364  0.007248    0.4277        74       416:  58%|█████▊    | 37/64 [00:05<00:04,  6.21it/s]
     13/19     0.56G   0.05638     0.366  0.007275    0.4296       101       416:  58%|█████▊    | 37/64 [00:05<00:04,  6.21it/s]
     13/19     0.56G   0.05638     0.366  0.007275    0.4296       101       416:  59%|█████▉    | 38/64 [00:05<00:03,  6.58it/s]
     13/19     0.56G   0.05612    0.3652  0.007261    0.4286        74       416:  59%|█████▉    | 38/64 [00:05<00:03,  6.58it/s]
     13/19     0.56G   0.05612    0.3652  0.007261    0.4286        74       416:  61%|██████    | 39/64 [00:05<00:03,  6.68it/s]
     13/19     0.56G   0.05588    0.3634  0.007278    0.4266        57       416:  61%|██████    | 39/64 [00:05<00:03,  6.68it/s]
     13/19     0.56G   0.05588    0.3634  0.007278    0.4266        57       416:  62%|██████▎   | 40/64 [00:05<00:03,  6.78it/s]
     13/19     0.56G   0.05578    0.3646  0.007277    0.4276        92       416:  62%|██████▎   | 40/64 [00:06<00:03,  6.78it/s]
     13/19     0.56G   0.05578    0.3646  0.007277    0.4276        92       416:  64%|██████▍   | 41/64 [00:06<00:03,  6.73it/s]
     13/19     0.56G   0.05559    0.3639  0.007275    0.4268        72       416:  64%|██████▍   | 41/64 [00:06<00:03,  6.73it/s]
     13/19     0.56G   0.05559    0.3639  0.007275    0.4268        72       416:  66%|██████▌   | 42/64 [00:06<00:03,  6.92it/s]
     13/19     0.56G   0.05529    0.3615  0.007299    0.4241        53       416:  66%|██████▌   | 42/64 [00:06<00:03,  6.92it/s]
     13/19     0.56G   0.05529    0.3615  0.007299    0.4241        53       416:  67%|██████▋   | 43/64 [00:06<00:03,  6.63it/s]
     13/19     0.56G   0.05504    0.3595  0.007263    0.4218        61       416:  67%|██████▋   | 43/64 [00:06<00:03,  6.63it/s]
     13/19     0.56G   0.05504    0.3595  0.007263    0.4218        61       416:  69%|██████▉   | 44/64 [00:06<00:02,  6.82it/s]
     13/19     0.56G   0.05471    0.3575  0.007252    0.4195        64       416:  69%|██████▉   | 44/64 [00:06<00:02,  6.82it/s]
     13/19     0.56G   0.05471    0.3575  0.007252    0.4195        64       416:  70%|███████   | 45/64 [00:06<00:02,  6.86it/s]
     13/19     0.56G   0.05468    0.3581  0.007238      0.42        79       416:  70%|███████   | 45/64 [00:06<00:02,  6.86it/s]
     13/19     0.56G   0.05468    0.3581  0.007238      0.42        79       416:  72%|███████▏  | 46/64 [00:06<00:02,  6.84it/s]
     13/19     0.56G   0.05454    0.3553   0.00722    0.4171        48       416:  72%|███████▏  | 46/64 [00:06<00:02,  6.84it/s]
     13/19     0.56G   0.05454    0.3553   0.00722    0.4171        48       416:  73%|███████▎  | 47/64 [00:06<00:02,  6.90it/s]
     13/19     0.56G   0.05461    0.3564  0.007233    0.4182        98       416:  73%|███████▎  | 47/64 [00:07<00:02,  6.90it/s]
     13/19     0.56G   0.05461    0.3564  0.007233    0.4182        98       416:  75%|███████▌  | 48/64 [00:07<00:02,  6.87it/s]
     13/19     0.56G   0.05455    0.3571  0.007234    0.4189        84       416:  75%|███████▌  | 48/64 [00:07<00:02,  6.87it/s]
     13/19     0.56G   0.05455    0.3571  0.007234    0.4189        84       416:  77%|███████▋  | 49/64 [00:07<00:02,  6.76it/s]
     13/19     0.56G   0.05451    0.3566  0.007256    0.4183        68       416:  77%|███████▋  | 49/64 [00:07<00:02,  6.76it/s]
     13/19     0.56G   0.05451    0.3566  0.007256    0.4183        68       416:  78%|███████▊  | 50/64 [00:07<00:02,  6.91it/s]
     13/19     0.56G   0.05473    0.3583  0.007268    0.4203       107       416:  78%|███████▊  | 50/64 [00:07<00:02,  6.91it/s]
     13/19     0.56G   0.05473    0.3583  0.007268    0.4203       107       416:  80%|███████▉  | 51/64 [00:07<00:02,  6.35it/s]
     13/19     0.56G   0.05475    0.3612  0.007288    0.4232       110       416:  80%|███████▉  | 51/64 [00:07<00:02,  6.35it/s]
     13/19     0.56G   0.05475    0.3612  0.007288    0.4232       110       416:  81%|████████▏ | 52/64 [00:07<00:01,  6.64it/s]
     13/19     0.56G   0.05477    0.3622  0.007288    0.4243        85       416:  81%|████████▏ | 52/64 [00:07<00:01,  6.64it/s]
     13/19     0.56G   0.05477    0.3622  0.007288    0.4243        85       416:  83%|████████▎ | 53/64 [00:07<00:01,  6.68it/s]
     13/19     0.56G   0.05472    0.3633  0.007244    0.4253        94       416:  83%|████████▎ | 53/64 [00:07<00:01,  6.68it/s]
     13/19     0.56G   0.05472    0.3633  0.007244    0.4253        94       416:  84%|████████▍ | 54/64 [00:07<00:01,  6.77it/s]
     13/19     0.56G   0.05482    0.3646  0.007263    0.4267       104       416:  84%|████████▍ | 54/64 [00:08<00:01,  6.77it/s]
     13/19     0.56G   0.05482    0.3646  0.007263    0.4267       104       416:  86%|████████▌ | 55/64 [00:08<00:01,  6.80it/s]
     13/19     0.56G   0.05473    0.3645  0.007253    0.4265        76       416:  86%|████████▌ | 55/64 [00:08<00:01,  6.80it/s]
     13/19     0.56G   0.05473    0.3645  0.007253    0.4265        76       416:  88%|████████▊ | 56/64 [00:08<00:01,  6.85it/s]
     13/19     0.56G   0.05474    0.3639  0.007268    0.4259        73       416:  88%|████████▊ | 56/64 [00:08<00:01,  6.85it/s]
     13/19     0.56G   0.05474    0.3639  0.007268    0.4259        73       416:  89%|████████▉ | 57/64 [00:08<00:00,  7.21it/s]
     13/19     0.56G   0.05468     0.365  0.007242    0.4269        99       416:  89%|████████▉ | 57/64 [00:08<00:00,  7.21it/s]
     13/19     0.56G   0.05468     0.365  0.007242    0.4269        99       416:  91%|█████████ | 58/64 [00:08<00:00,  7.08it/s]
     13/19     0.56G   0.05471     0.366  0.007247    0.4279        96       416:  91%|█████████ | 58/64 [00:08<00:00,  7.08it/s]
     13/19     0.56G   0.05471     0.366  0.007247    0.4279        96       416:  92%|█████████▏| 59/64 [00:08<00:00,  7.12it/s]
     13/19     0.56G   0.05467    0.3673   0.00723    0.4292       114       416:  92%|█████████▏| 59/64 [00:08<00:00,  7.12it/s]
     13/19     0.56G   0.05467    0.3673   0.00723    0.4292       114       416:  94%|█████████▍| 60/64 [00:08<00:00,  7.16it/s]
     13/19     0.56G   0.05461    0.3665  0.007205    0.4283        67       416:  94%|█████████▍| 60/64 [00:08<00:00,  7.16it/s]
     13/19     0.56G   0.05461    0.3665  0.007205    0.4283        67       416:  95%|█████████▌| 61/64 [00:08<00:00,  7.05it/s]
     13/19     0.56G   0.05456    0.3645  0.007242    0.4263        48       416:  95%|█████████▌| 61/64 [00:09<00:00,  7.05it/s]
     13/19     0.56G   0.05456    0.3645  0.007242    0.4263        48       416:  97%|█████████▋| 62/64 [00:09<00:00,  6.99it/s]
     13/19     0.56G   0.05453    0.3643  0.007239    0.4261        85       416:  97%|█████████▋| 62/64 [00:09<00:00,  6.99it/s]
     13/19     0.56G   0.05453    0.3643  0.007239    0.4261        85       416:  98%|█████████▊| 63/64 [00:09<00:00,  7.00it/s]
     13/19     0.56G   0.05453    0.3677  0.007243    0.4295       107       416:  98%|█████████▊| 63/64 [00:09<00:00,  7.00it/s]
     13/19     0.56G   0.05453    0.3677  0.007243    0.4295       107       416: 100%|██████████| 64/64 [00:09<00:00,  6.97it/s]
     13/19     0.56G   0.05453    0.3677  0.007243    0.4295       107       416: 100%|██████████| 64/64 [00:09<00:00,  6.83it/s]

               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:   0%|          | 0/19 [00:00<?, ?it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:   5%|▌         | 1/19 [00:00<00:03,  5.47it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  11%|█         | 2/19 [00:00<00:03,  5.48it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  16%|█▌        | 3/19 [00:00<00:02,  5.68it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  21%|██        | 4/19 [00:00<00:02,  5.66it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  26%|██▋       | 5/19 [00:00<00:02,  5.57it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  32%|███▏      | 6/19 [00:01<00:02,  5.62it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  37%|███▋      | 7/19 [00:01<00:02,  5.50it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  42%|████▏     | 8/19 [00:01<00:01,  5.63it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  47%|████▋     | 9/19 [00:01<00:01,  5.65it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  53%|█████▎    | 10/19 [00:01<00:01,  5.64it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  58%|█████▊    | 11/19 [00:01<00:01,  5.71it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  63%|██████▎   | 12/19 [00:02<00:01,  5.73it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  68%|██████▊   | 13/19 [00:02<00:01,  5.31it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  74%|███████▎  | 14/19 [00:02<00:00,  5.33it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  79%|███████▉  | 15/19 [00:02<00:00,  5.44it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  84%|████████▍ | 16/19 [00:02<00:00,  5.65it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  89%|████████▉ | 17/19 [00:03<00:00,  5.76it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  95%|█████████▍| 18/19 [00:03<00:00,  5.72it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95: 100%|██████████| 19/19 [00:03<00:00,  5.76it/s]

     Epoch   gpu_mem       box       obj       cls     total   targets  img_size

  0%|          | 0/64 [00:00<?, ?it/s]
     14/19     0.56G   0.05471    0.3466  0.007174    0.4085        65       416:   0%|          | 0/64 [00:00<?, ?it/s]
     14/19     0.56G   0.05471    0.3466  0.007174    0.4085        65       416:   2%|▏         | 1/64 [00:00<00:10,  6.17it/s]
     14/19     0.56G   0.05489    0.3561  0.006004     0.417        77       416:   2%|▏         | 1/64 [00:00<00:10,  6.17it/s]
     14/19     0.56G   0.05489    0.3561  0.006004     0.417        77       416:   3%|▎         | 2/64 [00:00<00:09,  6.37it/s]
     14/19     0.56G   0.05602    0.3281  0.006319    0.3905        62       416:   3%|▎         | 2/64 [00:00<00:09,  6.37it/s]
     14/19     0.56G   0.05602    0.3281  0.006319    0.3905        62       416:   5%|▍         | 3/64 [00:00<00:09,  6.62it/s]
     14/19     0.56G   0.05727    0.3926   0.00646    0.4564       121       416:   5%|▍         | 3/64 [00:00<00:09,  6.62it/s]
     14/19     0.56G   0.05727    0.3926   0.00646    0.4564       121       416:   6%|▋         | 4/64 [00:00<00:08,  6.72it/s]
     14/19     0.56G   0.05804    0.3707    0.0066    0.4354        71       416:   6%|▋         | 4/64 [00:00<00:08,  6.72it/s]
     14/19     0.56G   0.05804    0.3707    0.0066    0.4354        71       416:   8%|▊         | 5/64 [00:00<00:08,  6.67it/s]
     14/19     0.56G   0.05871    0.4134  0.006921     0.479       140       416:   8%|▊         | 5/64 [00:00<00:08,  6.67it/s]
     14/19     0.56G   0.05871    0.4134  0.006921     0.479       140       416:   9%|▉         | 6/64 [00:00<00:08,  6.90it/s]
     14/19     0.56G   0.05908    0.4217  0.006941    0.4878       112       416:   9%|▉         | 6/64 [00:01<00:08,  6.90it/s]
     14/19     0.56G   0.05908    0.4217  0.006941    0.4878       112       416:  11%|█         | 7/64 [00:01<00:08,  6.92it/s]
